conn_name,conn_type,zone-loc,edge
586,batten,N10,0
587,batten,N11,0
588,batten,N12,0
589,batten,N13,0
590,batten,N14,0
591,batten,N15,0
592,batteneave,N16,0
593,batteneave,O1,0
594,batten,O2,0
595,batten,O3,0
596,batten,O4,0
597,batten,O5,0
598,batten,O6,0
599,batten,O7,0
600,batteneave,O8,0
601,batteneave,O9,0
602,batten,O10,0
603,batten,O11,0
604,batten,O12,0
605,batten,O13,0
606,batten,O14,0
607,batten,O15,0
608,batteneave,O16,0
609,batteneave,P1,0
610,batten,P2,0
611,batten,P3,0
612,batten,P4,0
613,batten,P5,0
614,batten,P6,0
615,batten,P7,0
616,batteneave,P8,0
617,batteneave,P9,0
618,batten,P10,0
619,batten,P11,0
620,batten,P12,0
621,batten,P13,0
622,batten,P14,0
623,batten,P15,0
624,batteneave,P16,0
625,batteneave,Q1,0
626,batten,Q2,0
627,batten,Q3,0
628,batten,Q4,0
629,batten,Q5,0
630,batten,Q6,0
631,batten,Q7,0
632,batteneave,Q8,0
633,batteneave,Q9,0
634,batten,Q10,0
635,batten,Q11,0
636,batten,Q12,0
637,batten,Q13,0
638,batten,Q14,0
639,batten,Q15,0
640,batteneave,Q16,0
641,batteneave,R1,0
642,batten,R2,0
643,batten,R3,0
644,batten,R4,0
645,batten,R5,0
646,batten,R6,0
647,batten,R7,0
648,batteneave,R8,0
649,batteneave,R9,0
650,batten,R10,0
651,batten,R11,0
652,batten,R12,0
653,batten,R13,0
654,batten,R14,0
655,batten,R15,0
656,batteneave,R16,0
657,batteneave,S1,0
658,batten,S2,0
659,batten,S3,0
660,batten,S4,0
661,batten,S5,0
662,batten,S6,0
663,batten,S7,0
664,batteneave,S8,0
665,batteneave,S9,0
666,batten,S10,0
667,batten,S11,0
668,batten,S12,0
669,batten,S13,0
670,batten,S14,0
671,batten,S15,0
672,batteneave,S16,0
673,batteneave,T1,0
674,batten,T2,0
675,batten,T3,0
676,batten,T4,0
677,batten,T5,0
678,batten,T6,0
679,batten,T7,0
680,batteneave,T8,0
681,batteneave,T9,0
682,batten,T10,0
683,batten,T11,0
684,batten,T12,0
685,batten,T13,0
686,batten,T14,0
687,batten,T15,0
688,batteneave,T16,0
689,batteneave,U1,0
690,batten,U2,0
691,batten,U3,0
692,batten,U4,0
693,batten,U5,0
694,batten,U6,0
695,batten,U7,0
696,batteneave,U8,0
697,batteneave,U9,0
698,batten,U10,0
